# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,3.6112359404205985,1.08,-34.41695993118973,0,3.0,-1476.4842519568085,0.0,0.0,0.0
 0.016818861545283906,3.6115486480366625,1.0797857486385867,-34.41695993118973,0.0450760879685585,2.680091506026938,-1476.4842519568085,0.0,-4060.7511419701846,0.0
 0.023341693147279987,3.611665707482247,1.0795753949658144,-60.90455580787452,0.028735827387232824,-2.505086989571418,-3633.0706403845647,0.0,-7570.352195839762,0.0
 0.02988375795144983,3.611588793812287,1.079368914523174,-110.4302904634477,0.03862528653059781,1.5116724519545497,-2010.841438787005,0.0,-4736.20205533741,0.0
 0.03676722193534751,3.6113195820817183,1.0791662828521549,-143.03176673182494,0.05927567848229085,2.9999999999999996,-564.5457531274953,0.0,-1898.7760008136443,0.0
 0.043923000831828145,3.610859747345477,1.0789674754942482,-156.6189879675911,0.08074301517173275,3.0,-196.9104117862493,0.0,-901.4446510554228,0.0
 0.05130179698530727,3.610210964658499,1.0787724679909436,-163.2705642913732,0.10287940363217013,3.0,-87.43057887537046,0.0,-511.85118770772823,0.0
 0.058815167344651004,3.60937490907572,1.0785812358837314,-167.11629183349135,0.12541951471020135,3.0000000000000027,-45.74158648012854,0.0,-327.3228251323191,0.0
 0.06640764272594864,3.6083532556520757,1.0783937547141025,-169.60148232504525,0.14819694085409427,3.0000000000000018,-26.77402637531551,0.0,-226.77097927939064,0.0
 0.07404601095629992,3.6071476794425017,1.0782100000235464,-171.3336425687386,0.1711120455451481,2.9999999999999982,-16.98329944257582,0.0,-166.26919038862687,0.0
 0.08170973751250392,3.6057598555019332,1.0780299473535535,-172.60788417859845,0.1941032252137601,3.0000000000000018,-11.439124405188522,0.0,-127.13096808222748,0.0
 0.08938557553671243,3.6041914588853063,1.0778535722456144,-173.58372089745848,0.21713073928638568,3.0000000000000036,-8.07060164034318,0.0,-100.38570376409636,0.0
 0.09706462907550145,3.6024441646475576,1.0776808502412192,-174.35458809119197,0.24016789990275275,3.0000000000000018,-5.907824905248556,0.0,-81.30990296158352,0.0
 0.10474070796451859,3.600519647843622,1.0775117568818584,-174.97872932078343,0.2631961365698042,3.0,-4.456217188254879,0.0,-67.2297637349305,0.0
 0.1124093695546925,3.598419583528436,1.0773462677090218,-175.49429162765395,0.2862021213403259,3.0000000000000036,-3.4458112420834075,0.0,-56.54142629078104,0.0
 0.12006733835069976,3.5961456467569346,1.0771843582641998,-175.92728410587048,0.3091760277283477,2.9999999999999982,-2.7208045743637728,0.0,-48.236146318781266,0.0
 0.12771214170644887,3.5936995125840534,1.0770260040888826,-176.2960399591167,0.332110437795595,2.9999999999999982,-2.187013704450085,0.0,-41.65396871651353,0.0
 0.13534187368409736,3.5910828560647285,1.0768711807245608,-176.61384857622906,0.35499963372854043,2.999999999999993,-1.7852284887020433,0.0,-36.34851507737918,0.0
 0.14295503755684408,3.588297352253896,1.0767198637127247,-176.89057577804417,0.3778391253467806,3.0000000000000036,-1.4769550740391597,0.0,-32.00914616901646,0.0
 0.15055043806659466,3.5853446762064913,1.0765720285948641,-177.133698063173,0.4006253268760324,3.000000000000011,-1.2364299837380333,0.0,-28.41429594437889,0.0
 0.15812710603518065,3.5822265029774503,1.0764276509124695,-177.34898374910466,0.42335533078179044,3.0000000000000036,-1.0459664814977925,0.0,-25.40249546494298,0.0
 0.16568424453827843,3.578944507621708,1.0762867062070314,-177.54095392565756,0.44602674629108374,2.9999999999999964,-0.8931476181999971,0.0,-22.853822420751747,0.0
 0.1732211897720186,3.5755003651942014,1.0761491700200398,-177.71320193362442,0.4686375819923043,3.0000000000000036,-0.7690809986149234,0.0,-20.677701473550744,0.0
 0.1807373821331481,3.571895750749866,1.0760150178929853,-177.86861951548562,0.4911861590756928,3.0,-0.6672840921423598,0.0,-18.80468769596928,0.0
 0.18823234452863238,3.5681323393436366,1.0758842253673575,-178.0095599426257,0.5136710462621457,3.0000000000000036,-0.5829549725563339,0.0,-17.180813731155023,0.0
 0.19570566588724436,3.5642118060304497,1.0757567679846471,-178.1379576848411,0.5360910103379817,3.000000000000011,-0.5124848100001757,0.0,-15.763625751994393,0.0
 0.20315698847077604,3.560135825865241,1.0756326212863443,-178.2554175454053,0.5584449780885767,3.0000000000000036,-0.4531255644989195,0.0,-14.519355376100197,0.0
 0.21058599799885414,3.5559060739029458,1.0755117608139395,-178.36328197483587,0.5807320066728111,3.000000000000011,-0.4027594267960002,0.0,-13.420870181105569,0.0
 0.21799241588361096,3.5515242251985004,1.0753941621089227,-178.46268254777422,0.6029512603270816,3.0,-0.35973625327185077,0.0,-12.446167163827452,0.0
 0.22537599306492853,3.54699195480684,1.0752798007127846,-178.55457978363992,0.6251019918710343,3.0000000000000036,-0.3227572403041724,0.0,-11.57725073635055,0.0
 0.23273650507296492,3.5423109377829007,1.075168652167015,-178.6397942767049,0.6471835278951434,2.9999999999999925,-0.29079054398857984,0.0,-10.799287068844718,0.0
 0.24007374804112344,3.5374828491816186,1.0750606920131045,-178.71903126981186,0.669195256799619,3.0,-0.2630093046571896,0.0,-10.099959592169816,0.0
 0.24738753546187148,3.5325093640579293,1.0749558957925431,-178.79290022722716,0.6911366190618632,3.0000000000000115,-0.23874559904879272,0.0,-9.468972808785168,0.0
